amst-fiona.nationalresearchplatform.org,NL,Amsterdam
amst-osdf-xcache01.es.net,NL,Amsterdam
aws-eu-central-s1.eessi.science,DE,Frankfurt
azure-us-east-s1.eessi.science,US,Front Royal,Virginia
cclssts1.in2p3.fr,FR,Villeurbanne
ccstashcacheli01.in2p3.fr,FR,Villeurbanne
cf-ac-uk-cache.nationalresearchplatform.org,GB,Caerdydd,Cardiff
cvmfs-brisbane.neurodesk.org,AU,Brisbane,Queensland
cvmfs-egi.gridpp.rl.ac.uk,GB,Didcot,Oxfordshire
cvmfs-ext.gridpp.rl.ac.uk,GB,Didcot,Oxfordshire
cvmfs-melbourne.neurodesk.org,AU,Melbourne,Victoria
cvmfs-perth.neurodesk.org,AU,Perth
cvmfs-s1-arbutus.computecanada.ca,CA,Victoria,British Columbia
cvmfs-s1-beluga.computecanada.ca,CA,Montreal,Quebec
cvmfs-s1-graham.computecanada.ca,CA,London,Ontario
cvmfs-s1.hpc.swin.edu.au,AU,Melbourne,Victoria
cvmfs-s1bnl.opensciencegrid.org,US,Middle Island,New York
cvmfs-s1fnal.opensciencegrid.org,US,Batavia,Illinois
cvmfs-s1goc.opensciencegrid.org,US,Omaha,Nebraska
cvmfs-stratum-one.cc.kek.jp,JP,Tsukubamirai,Ibaraki
cvmfs-stratum-one.cern.ch,CH,Meyrin
cvmfs-stratum-one.ihep.ac.cn,CN,Beijing
cvmfs-sydney.neurodesk.org,AU,Sydney
cvmfs01.nikhef.nl,NL,Amsterdam
cvmfsrep.grid.sinica.edu.tw,TW,Taipei
cvmfsrepo.lcg.triumf.ca,CA,Vancouver,British Columbia
daejeon-kreonet-net.nationalresearchplatform.org,KR,Daejeon
dtn-pas.bois.nrp.internet2.edu,US,Boise,Idaho
dtn-pas.cinc.nrp.internet2.edu,US,Cincinnati,Ohio
dtn-pas.denv.nrp.internet2.edu,US,Denver,Colorado
dtn-pas.hous.nrp.internet2.edu,US,Houston,Texas
dtn-pas.jack.nrp.internet2.edu,US,Jacksonville,Florida
dtn-pas.kans.net.internet2.edu,US,Kansas City,Kansas
grid-cvmfs-one.desy.de,DE,Schenefeld
hcc-cvmfs-repo.unl.edu,US,Lincoln,Nebraska
hepvm.cern.ch,CH,Meyrin
its-condor-xrootd1.syr.edu,US,Syracuse,New York
ligo.hpc.swin.edu.au,AU,Melbourne,Victoria
lond-osdf-xcache01.es.net,GB,London
mghpcc-cache.nationalresearchplatform.org,US,Holyoke,Massachusetts
osdf-cache.sprace.org.br,BR,Sao Paulo
osdf1.chic.nrp.internet2.edu,US,Chicago,Illinois
osg-gftp2.pace.gatech.edu,US,Atlanta,Georgia
osg-hawk-cache.cc.lehigh.edu,US,Bethlehem,Pennsylvania
osg-houston-stashcache.nrp.internet2.edu,US,Houston,Texas
osg-new-york-stashcache.nrp.internet2.edu,US,New York,New York
osg-stash-sfu-computecanada-ca.nationalresearchplatform.org,CA,Burnaby,British Columbia
osg-sunnyvale-stashcache.nrp.internet2.edu,US,Sunnyvale,California
sampacs01.if.usp.br,BR,Sao Paulo
sdsc-cache.nationalresearchplatform.org,US,San Diego,California
singapore.nationalresearchplatform.org,SG,Singapore
stash.farm.particle.cz,CZ,Prague
stashcache-edi-scotgrid-ac-uk.nationalresearchplatform.org,GB,Edinburgh
stashcache.ligo.caltech.edu,US,Pasadena,California
stashcache.t2.ucsd.edu,US,San Diego,California
unl-cache.nationalresearchplatform.org,US,Lincoln,Nebraska
xcachevirgo.pic.es,ES,Tarrasa
